season,week,celebrity_name,mean,std,cv,certainty,ci_low,ci_high,regime
14,1,Gladys Knight,0.10519939946618381,0.0012326819182633584,0.011717575618476816,0.988418135751656,0.10304113677895695,0.10744595742168983,percent
14,1,Katherine Jenkins,0.07947673385217471,0.001412975501446874,0.01777847972558841,0.9825320734523864,0.07631388658061712,0.08098503579842725,percent
14,1,Maria Menounos,0.08309285909250282,0.001917581670224178,0.023077574790024223,0.9774429863788573,0.08028569434121371,0.086475823093923,percent
14,2,William Levy,0.08287606535307084,0.0017640904109343177,0.021285885175881508,0.9791577603442393,0.0796658925179308,0.08606758504342821,percent
14,2,Jack Wagner,0.0982187219331899,0.0015199052633455815,0.015474700071738337,0.984761117071016,0.09600348127603718,0.10109804821711092,percent
14,2,Sherri Sheperd,0.09088913078881429,0.001956184235864832,0.021522752158452587,0.9789307168019746,0.08790642633710087,0.09409691240986866,percent
14,2,Jaleel White,0.09453662042667337,0.0012370814254385365,0.013085737779235187,0.9870832869408267,0.0926092162289318,0.09682364781750413,percent
14,2,Roshon Fegan,0.07909173316077092,0.001691998319205684,0.021392859298788335,0.9790552096541235,0.07596065112365287,0.08160662984538879,percent
14,2,Melissa Gilbert,0.10130666019582443,0.0015289655204232151,0.015092448191143061,0.9851319471265527,0.0990659513086166,0.10418808152393512,percent
14,2,Martina Navratilova,1.0000097801968205e-08,1.2608518415130085e-13,1.2608395102544391e-05,0.999987391763867,9.999999999997793e-09,1.0000393200448117e-08,percent
14,2,Donald Driver,0.08732702633249043,0.0016349215242695554,0.018721827513566384,0.9816222377807872,0.08482372829311684,0.090570505039307,percent
14,2,Gavin DeGraw,0.0979850393982067,0.0018881426265256987,0.01926970319267183,0.9810945982870745,0.09458144795960458,0.10077366556862477,percent
14,2,Gladys Knight,0.1051993994661838,0.0012326819182633588,0.011717575618476821,0.988418135751656,0.10304113677895695,0.10744595742168982,percent
14,2,Katherine Jenkins,0.07947673385217471,0.0014129755014468746,0.017778479725588416,0.9825320734523864,0.07631388658061712,0.08098503579842725,percent
14,2,Maria Menounos,0.08309285909250282,0.0019175816702241785,0.02307757479002423,0.9774429863788573,0.08028569434121371,0.086475823093923,percent
14,3,William Levy,0.09113694723896289,0.0014308038939880169,0.015699493315662862,0.9845431710668544,0.08908980789336725,0.09395499643541155,percent
14,3,Jack Wagner,1.0000071666197815e-08,8.514660682615713e-14,8.514599661717345e-06,0.999991485472836,9.999999999998486e-09,1.0000234698221104e-08,percent
14,3,Sherri Sheperd,0.10608204237395458,0.0014808633071811273,0.013959604038927433,0.9862325836420684,0.10359705361690343,0.10853888893377768,percent
14,3,Jaleel White,0.10244301113904179,0.0015357274607223268,0.01499104178652017,0.985230370348753,0.0999755882198187,0.10520199276093112,percent
14,3,Roshon Fegan,0.10197553821213778,0.0017662345350913664,0.017320178604177623,0.9829747025877911,0.09891112456579679,0.1047584818671766,percent
14,3,Melissa Gilbert,0.10591301332263307,0.0015075419636592,0.014233774645490574,0.9859659823984211,0.10326425506524653,0.10838941898637942,percent
14,3,Donald Driver,0.09845354670243711,0.0015591616736661041,0.0158365211400506,0.9844103644528573,0.09516146535254279,0.10055639381931246,percent
14,3,Gavin DeGraw,0.10515022361864543,0.0017193505684834555,0.01635137339050392,0.9839116925321246,0.10233953948593211,0.10857748427135742,percent
14,3,Gladys Knight,0.10513699238594923,0.0017558437396547868,0.01670053232271691,0.983573794060515,0.10227901801345086,0.1075273731195003,percent
